GEO_ID,NAME,Ratio of Multiracial People
20001,"Allen County, Kansas",0.0624301
20003,"Anderson County, Kansas",0.0421133
20005,"Atchison County, Kansas",0.0612919
20007,"Barber County, Kansas",0.0513245
20009,"Barton County, Kansas",0.0759816
20011,"Bourbon County, Kansas",0.0668524
20013,"Brown County, Kansas",0.0638410
20015,"Butler County, Kansas",0.0775898
20017,"Chase County, Kansas",0.0419907
20019,"Chautauqua County, Kansas",0.0665877
20021,"Cherokee County, Kansas",0.0913645
20023,"Cheyenne County, Kansas",0.0775994
20025,"Clark County, Kansas",0.0627825
20027,"Clay County, Kansas",0.0438586
20029,"Cloud County, Kansas",0.0443977
20031,"Coffey County, Kansas",0.0485646
20033,"Comanche County, Kansas",0.0532860
20035,"Cowley County, Kansas",0.0969058
20037,"Crawford County, Kansas",0.0814431
20039,"Decatur County, Kansas",0.0430535
20041,"Dickinson County, Kansas",0.0562439
20043,"Doniphan County, Kansas",0.0454061
20045,"Douglas County, Kansas",0.0883950
20047,"Edwards County, Kansas",0.0901273
20049,"Elk County, Kansas",0.0624245
20051,"Ellis County, Kansas",0.0570263
20053,"Ellsworth County, Kansas",0.0497177
20055,"Finney County, Kansas",0.2242007
20057,"Ford County, Kansas",0.1910053
20059,"Franklin County, Kansas",0.0687798
20061,"Geary County, Kansas",0.1323934
20063,"Gove County, Kansas",0.0540839
20065,"Graham County, Kansas",0.0418219
20067,"Grant County, Kansas",0.1939608
20069,"Gray County, Kansas",0.0792500
20071,"Greeley County, Kansas",0.0817757
20073,"Greenwood County, Kansas",0.0615027
20075,"Hamilton County, Kansas",0.1342335
20077,"Harper County, Kansas",0.0577940
20079,"Harvey County, Kansas",0.0792088
20081,"Haskell County, Kansas",0.0939153
20083,"Hodgeman County, Kansas",0.0470110
20085,"Jackson County, Kansas",0.0734583
20087,"Jefferson County, Kansas",0.0621733
20089,"Jewell County, Kansas",0.0439973
20091,"Johnson County, Kansas",0.0870130
20093,"Kearny County, Kansas",0.1872960
20095,"Kingman County, Kansas",0.0445783
20097,"Kiowa County, Kansas",0.0695122
20099,"Labette County, Kansas",0.1009711
20101,"Lane County, Kansas",0.0673443
20103,"Leavenworth County, Kansas",0.0869188
20105,"Lincoln County, Kansas",0.0401497
20107,"Linn County, Kansas",0.0519237
20109,"Logan County, Kansas",0.0521361
20111,"Lyon County, Kansas",0.0962429
20113,"McPherson County, Kansas",0.0568441
20115,"Marion County, Kansas",0.0433900
20117,"Marshall County, Kansas",0.0387527
20119,"Meade County, Kansas",0.1023428
20121,"Miami County, Kansas",0.0639934
20123,"Mitchell County, Kansas",0.0383023
20125,"Montgomery County, Kansas",0.1088103
20127,"Morris County, Kansas",0.0534720
20129,"Morton County, Kansas",0.1014439
20131,"Nemaha County, Kansas",0.0319284
20133,"Neosho County, Kansas",0.0717430
20135,"Ness County, Kansas",0.0528470
20137,"Norton County, Kansas",0.0474446
20139,"Osage County, Kansas",0.0523278
20141,"Osborne County, Kansas",0.0368571
20143,"Ottawa County, Kansas",0.0530078
20145,"Pawnee County, Kansas",0.0713258
20147,"Phillips County, Kansas",0.0427625
20149,"Pottawatomie County, Kansas",0.0699463
20151,"Pratt County, Kansas",0.0551491
20153,"Rawlins County, Kansas",0.0671613
20155,"Reno County, Kansas",0.0739765
20157,"Republic County, Kansas",0.0380830
20159,"Rice County, Kansas",0.0952583
20161,"Riley County, Kansas",0.0837560
20163,"Rooks County, Kansas",0.0453344
20165,"Rush County, Kansas",0.0382273
20167,"Russell County, Kansas",0.0551487
20169,"Saline County, Kansas",0.0971770
20171,"Scott County, Kansas",0.1108523
20173,"Sedgwick County, Kansas",0.1100790
20175,"Seward County, Kansas",0.2379803
20177,"Shawnee County, Kansas",0.1061042
20179,"Sheridan County, Kansas",0.0474050
20181,"Sherman County, Kansas",0.0732242
20183,"Smith County, Kansas",0.0285714
20185,"Stafford County, Kansas",0.0817780
20187,"Stanton County, Kansas",0.1569098
20189,"Stevens County, Kansas",0.1135238
20191,"Sumner County, Kansas",0.0702350
20193,"Thomas County, Kansas",0.0558638
20195,"Trego County, Kansas",0.0473647
20197,"Wabaunsee County, Kansas",0.0622364
20199,"Wallace County, Kansas",0.0568783
20201,"Washington County, Kansas",0.0437613
20203,"Wichita County, Kansas",0.1403346
20205,"Wilson County, Kansas",0.0730519
20207,"Woodson County, Kansas",0.0545746
20209,"Wyandotte County, Kansas",0.1493870
